A,B,C,D,E,F,G,H,O
213,155,237,186,189,196,27.5680975,197.9292803,30
208,155,253,184,186,197.2,32.59079625,199.8749609,30
207,154,256,183,185,197,33.9705755,199.9074786,30
205,152,264,183,182,197.2,37.4133666,200.7177122,30
201,151,268,182,177,195.8,39.47353544,199.7393301,30
200,150,268,182,175,195,39.86978806,199.0341679,30
206,148,271,181,173,195.8,41.91133498,200.2353615,30
206,149,266,178,172,194.2,40.23133107,198.3234731,30
205,150,258,175,173,192.2,37.25265091,195.7769139,30
202,147,253,172,172,189.2,36.35051581,192.6603228,30
200,146,254,172,174,189.2,36.63004232,192.7132585,30
198,143,249,172,171,186.6,35.7245014,189.988947,30
198,142,242,178,172,186.4,33.09138861,189.3145531,30
201,141,236,176,170,184.8,31.93368128,187.538796,30
201,141,231,181,173,185.4,29.89046671,187.7940361,30
198,141,227,180,172,183.6,28.47174038,185.7945101,30
196,147,230,181,170,184.8,27.67959537,186.861446,30
197,158,229,195,170,189.8,24.57152824,191.3839074,30
191,160,227,208,173,191.8,23.94493683,193.2889029,30
195,158,221,207,173,190.8,22.73675439,192.1499415,30
199,156,216,206,172,189.8,22.32845718,191.1088695,30
206,153,215,207,169,190,24.41311123,191.5620004,30
204,151,211,203,167,187.2,23.73520592,188.6987016,30
205,151,207,200,167,186,22.73323558,187.3840975,30
206,150,213,199,163,186.2,24.99119845,187.8696357,30
202,150,215,197,163,185.4,24.66252217,187.0331521,30
196,149,213,200,164,184.4,23.9382539,185.9473044,30
196,150,216,200,166,185.6,24.04662138,187.1512757,30
195,148,218,202,164,185.4,25.64059282,187.1646334,30
194,148,213,200,169,184.8,23.3015021,186.2632546,30
192,147,207,194,167,181.4,21.52765663,182.6729318,30
193,144,202,190,169,179.6,20.82882618,180.803761,30
197,144,201,188,166,179.2,21.36726468,180.469388,30
206,149,199,194,163,182.2,22.17566234,183.544545,30
207,150,197,195,160,181.8,22.48021352,183.1846063,30
212,149,193,196,161,182.2,23.43842998,183.7013881,30
211,147,189,199,162,181.6,23.67783774,183.1371071,30
208,148,186,197,165,180.8,21.70161284,182.0977759,30
209,149,186,195,165,180.8,21.37662275,182.059331,30
208,148,198,194,165,182.6,22.44638055,183.9744547,30
205,155,197,192,165,182.8,19.33287356,183.8194767,30
201,158,197,191,166,182.6,17.30433472,183.4181016,30
197,157,195,189,166,180.8,16.22837022,181.5268575,30
195,155,197,184,172,180.6,15.60256389,181.2727227,30
197,153,198,183,173,180.8,16.71406593,181.5709228,30
194,152,197,179,177,179.8,15.99249824,180.5098335,30
204,152,195,180,176,181.4,17.8392825,182.2750669,30
211,151,191,177,178,181.6,19.61224108,182.6559608,30
211,149,186,175,179,180,19.91983936,181.098868,30
207,147,185,184,177,180,19.32873509,181.0348033,30
202,146,182,197,176,180.6,19.73423421,181.6749845,30
199,146,178,195,175,178.6,18.76805797,179.5834068,30
200,146,179,192,172,177.8,18.65904606,178.7763967,30
205,145,181,191,170,178.4,20.29384143,179.55055,30
205,144,186,193,175,180.6,20.73258305,181.7861381,30
207,142,191,200,172,182.4,23.36321896,183.8901846,30
202,139,188,199,169,179.4,23.27745691,180.9038419,30
197,138,189,201,167,178.4,23.37177785,179.9244286,30
203,143,187,202,166,180.2,22.92073297,181.6518648,30
209,144,184,202,165,180.8,23.91150351,182.3743403,30
214,142,185,204,169,182.8,25.62342678,184.5871068,30
225,143,182,207,172,185.8,28.36476688,187.9526536,30
230,142,178,211,172,186.6,30.83893643,189.1311714,30
228,142,175,210,170,185,30.4893424,187.4955999,30
223,143,171,209,169,183,29.03790626,185.2895032,30
218,141,168,203,166,179.2,27.67959537,181.3251224,30
213,138,166,198,170,177,26.18396456,178.9262418,30
211,136,164,198,171,176,26.37422985,177.9651651,30
207,137,162,193,173,174.4,24.34419849,176.0908856,30
202,142,158,194,169,173,22.28901075,174.4299286,30
199,142,156,194,170,172.2,21.78439809,173.5724633,30
195,139,155,191,168,169.6,21.23770232,170.9245448,30
190,140,152,188,171,168.2,19.66112916,169.3452096,30
187,137,152,186,169,166.2,19.4257561,167.3314077,30
187,134,151,184,172,165.6,20.24450543,166.8328505,30
182,135,155,184,173,165.8,18.49756741,166.8286546,30
181,134,168,183,172,167.6,17.69293644,168.5313027,30
179,136,171,189,171,169.2,17.87064632,170.1411179,30
191,139,167,195,170,172.4,20.03596766,173.5603641,30
197,139,163,191,174,172.8,20.76920798,174.0436727,30
193,138,162,194,173,172,20.89018908,173.2639605,30
193,135,166,193,169,171.2,21.4140141,172.5340546,30
200,137,166,195,166,172.8,22.833309,174.3020367,30
197,147,171,190,166,174.2,17.81460075,175.1085378,30
197,146,174,190,165,174.4,18.16149774,175.3430923,30
204,150,175,189,171,177.8,18.10414317,178.719333,30
201,150,175,185,168,175.8,17.01058494,176.6210633,30
196,150,173,183,165,173.4,15.62817968,174.1028432,30
194,148,171,180,165,171.6,15.31796331,172.2823264,30
191,145,168,179,162,169,15.55634919,169.7144661,30
186,142,166,184,159,167.4,16.36581804,168.1980975,30
190,139,167,183,156,167,18.38477631,168.0089283,30
193,139,167,191,157,169.4,20.52900387,170.6393858,30
196,136,165,197,155,169.8,23.70991354,171.447368,30
196,135,162,196,152,168.2,24.28497478,169.9441085,30
196,135,160,200,150,168.2,25.63123095,170.1417056,30
191,134,157,204,150,167.2,26.16409754,169.2347482,30
187,136,156,204,149,166.4,25.19206224,168.2961675,30
186,139,170,206,149,170,24.30637776,171.728856,30
185,139,174,204,149,170.2,23.65924766,171.8365502,30
182,137,183,199,155,171.2,22.1846794,172.6313992,30
178,138,181,196,157,170,20.2682017,171.2039719,30
175,139,181,194,157,169.2,19.22914455,170.2891658,30
173,141,177,191,155,167.4,17.49971428,168.3122099,30
170,143,178,195,152,167.6,18.51053754,168.6190974,30
169,142,179,199,154,168.6,19.76461485,169.7545287,30
169,140,176,196,154,167,19.09973822,168.0886671,30
168,139,173,197,158,167,18.98420396,168.0755782,30
180,154,170,197,157,171.6,15.75563391,172.321792,30
184,152,169,198,154,171.4,17.61363109,172.3026407,30
197,163,167,194,151,174.4,18.03995565,175.330545,30
197,165,171,196,153,176.4,17.40804412,177.2568757,30
199,162,171,194,154,176,17.65219533,176.8830122,30
198,159,167,193,152,173.8,18.41086636,174.7724235,30
198,158,164,190,156,173.2,17.3712406,174.0689519,30
194,155,162,187,157,171,16.23576299,171.769031,30
194,154,159,184,164,171,15.3622915,171.6886717,30
191,154,158,186,165,170.8,14.95860956,171.4537839,30
190,151,155,184,169,169.8,15.38050714,170.4951612,30
187,148,154,185,168,168.4,15.78100124,169.1378136,30
185,145,154,187,170,168.2,16.606023,169.0177505,30
188,146,152,183,173,168.4,16.66853323,169.2229299,30
188,146,155,178,182,169.8,16.32666531,170.5831176,30
188,147,154,176,186,170.2,16.73798076,171.0210513,30
187,156,152,175,188,171.6,15.13406753,172.2660733,30
190,155,150,173,189,171.4,16.64451862,172.2062717,30
194,153,156,171,187,172.2,16.28987416,172.9687833,30
195,150,164,180,182,174.2,15.6,174.8971126,30
196,149,165,180,178,173.6,15.75563391,174.3135107,30
198,152,174,185,176,177,15.09966887,177.6429002,30
208,155,172,190,173,179.6,18.00666543,180.5004155,30
205,153,168,191,175,178.4,18.06211505,179.3120186,30
201,157,174,189,170,178.2,15.30228741,178.8558078,30
201,164,171,184,169,177.8,13.34765897,178.3003085,30
200,162,173,180,177,178.4,12.40322539,178.8306461,30
199,159,173,180,175,177.2,12.9367693,177.6716072,30
204,157,172,178,177,177.6,15.18683641,178.2481416,30
202,154,170,174,172,174.4,15.51257554,175.088549,30
202,152,171,177,172,174.8,16.0424437,175.534612,30
199,152,171,173,173,173.6,14.96128337,174.2435078,30
195,153,177,178,176,175.8,13.37759321,176.3082528,30
191,153,176,176,176,174.4,12.175385,174.8244834,30
190,151,176,171,177,173,12.66491216,173.4629643,30
192,148,176,168,173,171.4,14.192956,171.9866274,30
199,146,178,165,172,172,17.2626765,172.8641085,30
198,147,177,162,170,170.8,16.86890631,171.6309995,30
198,145,176,168,171,171.6,16.95405556,172.4354952,30
196,148,174,169,173,172,15.27088734,172.6765763,30
197,149,172,171,171,172,15.20526225,172.670785,30
197,147,171,176,170,172.2,15.94239631,172.9364045,30
205,146,170,175,167,172.6,18.97998946,173.6404331,30
202,145,171,172,166,171.2,18.23622768,172.1685221,30
200,149,170,174,165,171.6,16.54811167,172.3960556,30
198,150,171,175,170,172.8,15.30228741,173.4762232,30
197,148,170,179,171,173,15.8113883,173.7210408,30
201,147,168,178,171,173,17.40114939,173.8729421,30
200,145,166,176,168,171,17.75387282,171.9191671,30
197,144,165,174,164,168.8,17.17439955,169.6714472,30
193,143,165,174,166,168.2,16.11707169,168.9704116,30
190,140,161,174,164,165.8,16.4,166.6091234,30
195,139,157,173,168,166.4,18.45643519,167.4204289,30
194,138,156,172,166,165.2,18.44342701,166.2263517,30
197,135,155,170,166,164.6,20.24450543,165.8402846,30
193,134,154,167,164,162.4,19.16872453,163.5273677,30
191,133,155,166,161,161.2,18.68047109,162.2787725,30
190,136,152,163,161,160.4,17.60227258,161.3629449,30
191,135,150,160,164,160,18.44993225,161.0602372,30
189,135,153,159,165,160.2,17.55448661,161.1589278,30
186,138,157,156,163,160,15.45315502,160.7445178,30
187,137,157,161,160,160.4,15.91979899,161.1880889,30
188,136,160,158,159,160.2,16.52150114,161.0496818,30
186,135,159,158,163,160.2,16.21604144,161.0186325,30
185,134,157,158,165,159.8,16.36337374,160.6356125,30
184,132,155,161,165,159.4,16.78809102,160.2816271,30
189,131,157,161,161,159.8,18.4,160.8558361,30
184,132,155,159,158,157.6,16.49969697,158.4613518,30
182,131,152,158,155,155.6,16.25546062,156.4467961,30
178,131,150,157,154,154,15.03329638,154.7320264,30
176,133,148,159,156,154.4,14.06556078,155.0393498,30
175,133,148,160,156,154.4,13.83618445,155.0187085,30
174,133,146,158,156,153.4,13.5882302,154.0006493,30
177,133,144,156,160,154,14.89966443,154.7191003,30
190,132,141,156,158,155.4,19.79494885,156.6556734,30
189,135,138,161,156,155.8,19.38452991,157.0012739,30
191,133,136,161,158,155.8,20.89401828,157.1947836,30
192,131,134,160,160,155.4,22.06898276,156.9592304,30
188,130,135,159,161,154.6,20.80961316,155.9942307,30
188,131,138,162,161,156,20.16928358,157.2984425,30
189,130,137,161,159,155.2,20.76920798,156.583524,30
191,135,135,160,157,155.6,20.606795,156.9585933,30
193,138,135,159,154,155.8,20.72100384,157.1718804,30
192,140,136,160,153,156.2,19.88366163,157.4604712,30
189,140,143,168,154,158.8,18.01554884,159.8186472,30
189,140,147,167,151,158.8,17.5088549,159.7623235,30
194,145,151,167,150,161.4,17.89525077,162.389039,30
198,146,151,165,152,162.4,18.87432118,163.4931191,30
198,143,152,163,156,162.4,18.9377929,163.5004587,30
199,142,153,161,158,162.6,19.31424345,163.7430915,30
199,140,154,162,159,162.8,19.61020143,163.9768276,30
198,142,153,165,156,162.8,19.07249328,163.9133918,30
197,141,151,167,154,162,19.37008002,163.1539151,30
199,138,154,172,156,163.8,20.6339526,165.0945184,30
199,137,153,171,158,163.6,20.78076033,164.9145233,30
196,135,156,171,156,162.8,20.17324961,164.0451157,30
194,134,155,173,159,163,19.90979658,164.2114491,30
192,133,153,172,158,161.6,19.68349562,162.7943488,30
192,133,150,171,159,161,19.84943324,162.2189878,30
200,132,149,170,159,162,22.74203157,163.5885082,30
196,132,146,178,159,162.2,22.7015418,163.7809513,30
196,130,145,175,156,160.4,23.07032726,162.0506094,30
193,129,142,174,154,158.4,22.77366901,160.0287474,30
191,130,140,171,151,156.6,21.9326241,158.1284288,30
189,132,137,168,150,155.2,20.9895212,156.6128986,30
187,130,136,164,149,153.2,20.54653255,154.5716662,30
186,135,137,163,149,154,18.86796226,155.1515388,30
195,140,137,160,150,156.4,20.92462664,157.793536,30
199,141,135,158,156,157.8,22.37319825,159.3781666,30
196,145,132,157,161,158.2,21.44201483,159.6464845,30
195,144,135,156,160,158,20.50365821,159.3248254,30
195,144,144,155,163,160.2,18.81913919,161.3015809,30
194,146,148,153,163,160.8,17.61135997,161.7615529,30
197,144,147,151,167,161.2,19.5795812,162.3847283,30
197,143,150,150,164,160.8,19.34321587,161.9592541,30
193,140,153,148,165,159.8,18.47593029,160.8645393,30
193,139,155,150,163,160,18.2428068,161.0366418,30
195,138,155,153,162,160.6,18.89550211,161.7077611,30
193,138,155,151,159,159.2,18.31283703,160.249805,30
190,139,155,150,160,158.8,17.08098358,159.7159979,30
190,137,154,160,180,164.2,18.85099467,165.2785528,30
186,136,156,163,180,164.2,17.82582396,165.1647662,30
183,136,153,167,183,164.4,18.08424729,165.3916564,30
181,136,150,166,191,164.8,19.9939991,166.0084335,30
181,136,148,166,201,166.4,23.12228362,167.9988095,30
181,137,148,163,199,165.6,22.30336298,167.0951825,30
181,134,148,163,195,164.2,21.93991796,165.6592889,30
187,137,147,167,191,165.8,21.30164313,167.1627949,30
184,135,157,167,186,165.8,18.79787222,166.8622186,30
184,137,157,168,184,166,17.74260409,166.9455001,30
185,137,156,164,181,164.6,17.44247689,165.5215998,30
182,142,154,163,179,164,15.05988048,164.6900118,30
182,143,153,161,179,163.6,14.96128337,164.2826832,30
181,145,153,161,175,163,13.38656042,163.5487695,30
192,145,152,161,174,164.8,16.70209568,165.644197,30
193,145,152,161,175,165.2,17.13942823,166.0867243,30
195,142,153,160,175,165,18.4282392,166.0259016,30
194,143,151,167,174,165.8,17.90418945,166.763905,30
192,142,148,167,176,165,18.28660712,166.0102406,30
189,143,149,164,173,163.6,16.56019324,164.4360058,30
187,141,149,163,172,162.4,16.34135857,163.2200968,30
185,142,146,164,169,161.2,15.71496102,161.9641936,30
187,143,147,162,172,162.2,16.19135572,163.0061349,30
186,141,146,161,177,162.2,17.31357849,163.1214272,30
182,138,145,161,174,160,16.673332,160.8664042,30
179,138,147,165,173,160.4,15.53833968,161.150861,30
176,135,145,165,174,159,16.2603813,159.8292839,30
173,134,148,167,174,159.2,15.68948693,159.9712474,30
174,134,147,166,176,159.4,16.31686244,160.2329554,30
173,139,147,169,174,160.4,14.52721584,161.0565118,30
178,146,146,168,173,162.2,13.6,162.7691617,30
182,148,143,168,174,163,15.0465943,163.6930053,30
185,146,141,167,174,162.6,16.69251329,163.4545808,30
185,146,139,165,172,161.4,16.85941873,162.2781563,30
181,145,140,162,168,159.2,15.03861696,159.908724,30
177,143,140,161,169,158,14.4222051,158.6568624,30
178,142,139,161,168,157.6,15.00133327,158.3123495,30
180,141,144,161,165,158.2,14.33038729,158.8477258,30
177,140,142,161,171,158.2,14.95860956,158.9056324,30
178,138,142,160,172,158,15.8492902,158.7929469,30
176,140,140,161,174,158.2,15.7276826,158.9798729,30
187,139,145,166,181,163.6,19.01157542,164.7009411,30
188,140,151,175,178,166.4,17.93989967,167.3642734,30
189,138,150,177,175,165.8,18.81913919,166.8646158,30
189,139,150,178,173,165.8,18.47593029,166.8262569,30
193,145,152,181,172,168.6,17.85049019,169.5423251,30
194,145,151,182,171,168.6,18.42389752,169.6036556,30
194,146,149,182,170,168.2,18.5515498,169.2199752,30
194,144,151,181,169,167.8,18.49756741,168.8164684,30
189,149,150,181,173,168.4,16.2431524,169.1815593,30
189,150,149,183,174,169,16.62528195,169.8157825,30
198,151,146,182,174,170.2,19.39484468,171.3014886,30
199,151,142,183,173,169.6,20.8,170.8707114,30
204,152,142,178,177,170.6,21.79541236,171.9866274,30
203,156,147,178,175,171.8,19.4257561,172.8947657,30
200,152,148,176,177,170.6,18.92722906,171.6467302,30
202,150,147,173,176,169.6,19.9859951,170.7735342,30
206,149,145,169,175,168.8,21.82109072,170.2045828,30
201,146,143,168,177,167,21.32604042,168.3561701,30
198,145,141,164,175,164.6,20.80961316,165.9102167,30
203,143,145,162,176,165.8,22.1576172,167.2740267,30
207,142,148,165,173,167,22.91724242,168.5651209,30
230,140,149,174,178,174.2,31.40955269,177.0090393,30
241,138,149,179,174,176.2,35.80726183,179.8015573,30
238,145,160,185,171,179.8,31.92115286,182.6116097,30
238,150,169,185,170,182.4,29.93726774,184.8404718,30
238,150,173,185,169,183,29.71195046,185.3963322,30
243,149,176,182,166,183.2,31.92115286,185.9602108,30
255,150,173,182,162,184.4,36.89227561,188.0542475,30
253,148,170,179,161,182.2,36.85322238,185.8897523,30
254,146,170,176,163,181.8,37.47212297,185.6216582,30
252,145,171,175,167,182,36.50753347,185.6254293,30
245,143,168,176,166,179.6,34.49405746,182.8824759,30
241,141,168,175,165,178,33.51417611,181.1275793,30
237,140,174,178,166,179,31.8747549,181.8158409,30
230,139,198,176,166,181.8,30.66202863,184.3675676,30
225,137,201,171,168,180.4,30.13038334,182.8988792,30
221,135,204,170,167,179.4,30.16355417,181.9181134,30
217,135,203,171,167,178.6,28.85550207,180.9160026,30
215,135,212,173,169,180.8,29.80201335,183.2397337,30
217,133,211,171,165,179.4,31.12298186,182.0796529,30
227,132,213,170,166,181.6,34.30801656,184.8123373,30
225,140,209,176,164,182.8,30.65550522,185.3526369,30
227,142,209,179,162,183.8,30.81168609,186.3646962,30
224,150,206,175,164,183.8,27.27929618,185.8133472,30
224,154,205,170,161,182.8,27.05106283,184.7906924,30
220,154,201,169,160,180.8,25.43540839,182.5803933,30
215,156,197,167,156,178.2,23.74363072,179.7748592,30
213,163,194,165,158,178.6,21.32228881,179.8682851,30
210,165,192,167,163,179.4,18.57525235,180.3590863,30
213,166,187,166,163,179,19.04730952,180.0105552,30
217,162,188,167,165,179.8,20.74029894,180.992265,30
211,163,187,167,166,178.8,18.2032964,179.7242332,30
207,162,183,171,165,177.6,16.36581804,178.35246,30
204,160,179,169,172,176.8,14.90503271,177.4271682,30
202,157,175,166,174,174.8,15.06519167,175.447998,30
203,154,177,166,173,174.6,16.20617166,175.3505061,30
203,151,184,165,169,174.4,17.74936619,175.3008842,30
207,149,204,163,166,177.8,23.35294414,179.3270755,30
204,151,202,164,166,177.4,21.536945,178.7025461,30
210,148,207,166,173,180.8,24.06158765,182.3940789,30
213,147,208,163,171,180.4,25.81162529,182.2372081,30
208,146,203,161,169,177.4,24.15450269,179.0368677,30
206,146,201,161,172,177.2,23.05992194,178.6941521,30
203,146,197,160,169,175,21.77154106,176.3490856,30
201,149,192,159,167,173.6,19.75449316,174.720348,30
196,149,192,157,165,171.8,18.8616012,172.8322887,30
196,153,190,158,167,172.8,17.19767426,173.6536783,30
194,155,192,157,165,172.6,17.00117643,173.4352905,30
197,152,189,156,162,171.2,18.25814887,172.1708454,30
198,150,189,156,161,170.8,19.07249328,171.8615722,30
197,153,186,154,161,170.2,17.94881612,171.1437992,30
204,151,189,156,160,172,20.7557221,173.2477994,30
204,150,187,154,167,172.4,20.40196069,173.6029954,30
201,150,187,151,164,170.6,20.22473733,171.7946449,30
202,149,193,148,164,171.2,22.39106965,172.6580435,30
201,147,199,145,160,170.4,24.71922329,172.1836229,30
201,146,197,143,158,169,25.03597412,170.8443736,30
199,144,196,145,155,167.8,24.57152824,169.5895044,30
195,144,191,145,154,165.8,22.51577225,167.3218456,30
194,144,186,144,157,165,21.10923968,166.3448226,30
194,147,185,143,156,165,20.63976744,166.2858984,30
199,150,186,141,158,166.8,22.04903626,168.251003,30
198,151,189,139,159,167.2,22.57786527,168.7175154,30
198,152,187,136,159,166.4,22.84381754,167.9607097,30
196,156,187,143,163,169,19.66723163,170.1405302,30
194,153,186,145,164,168.4,18.81063529,169.447337,30
200,154,192,144,162,170.4,21.81375713,171.7905702,30
207,156,190,145,163,172.2,22.8683187,173.7118303,30
210,155,193,144,163,173,24.63331078,174.744957,30
208,155,198,143,169,174.6,24.80806321,176.353622,30
216,154,195,141,170,175.2,27.21323208,177.3008742,30
212,156,198,141,173,176,26.13044202,177.9291994,30
211,154,206,140,175,177.2,27.92418307,179.3867331,30
207,152,204,155,174,178.4,23.39743576,179.9277633,30
206,155,201,161,175,179.6,20.62619693,180.7805299,30
206,156,198,161,174,179,19.83935483,180.0960855,30
202,159,194,166,172,178.6,16.56019324,179.3661061,30
199,165,193,170,173,180,13.44618905,180.5015235,30
198,163,189,168,171,177.8,13.37759321,178.3025519,30
193,166,186,167,166,175.6,11.56892389,175.9806808,30
191,167,183,166,162,173.8,11.196428,174.160271,30
188,167,184,162,158,171.8,12.00666482,172.2190466,30
185,163,182,160,159,169.8,11.30309692,170.1757915,30
186,166,181,156,159,169.6,11.90965994,170.0176461,30
188,166,183,156,156,169.8,13.42236939,170.3296803,30
195,167,186,155,153,171.2,16.71406593,172.0139529,30
204,165,187,156,152,172.8,19.7524682,173.9252713,30
200,165,188,157,150,172,18.96312211,173.0421914,30
199,161,189,155,147,170.2,20.1831613,171.3925319,30
199,160,186,154,147,169.2,19.8937176,170.3654895,30
199,157,185,154,147,168.4,20.03596766,169.5877354,30
200,154,186,159,146,169,20.51341025,170.2404182,30
197,151,184,161,145,167.6,19.81514572,168.7672954,30
193,151,184,164,143,167,19.00526243,168.0779581,30
192,151,183,170,147,168.6,17.51113931,169.506932,30
195,151,182,169,146,168.6,18.42389752,169.6036556,30
191,149,183,166,146,167,17.87735998,167.9541604,30
189,146,182,165,145,165.4,18.02886574,166.3796863,30
186,144,178,174,149,166.2,16.61806246,167.02874,30
186,152,176,180,149,168.6,15.14727698,169.2790595,30
194,154,177,180,150,171,16.58915308,171.8027939,30
199,155,176,181,149,172,18.13284313,172.9531729,30
194,155,173,179,150,170.2,16.06735821,170.9567197,30
193,153,172,175,148,168.2,16.21604144,168.9798805,30
190,152,172,174,155,168.6,13.85063175,169.1679639,30
187,153,169,170,153,166.4,12.67438361,166.8819942,30
183,151,169,168,159,166,10.73312629,166.3466261,30
181,150,167,167,160,165,10.13903348,165.3112216,30
179,147,165,168,159,163.6,10.5375519,163.9390131,30
178,145,162,166,165,163.2,10.60942977,163.5444894,30
175,145,161,163,167,162.2,9.8468269,162.4986154,30
174,145,161,165,171,163.2,10.16661202,163.51636,30
171,143,165,172,175,165.2,11.56546584,165.6043478,30
169,141,164,176,173,164.6,12.4675579,165.0714997,30
166,140,168,173,173,164,12.31259518,164.4615457,30
165,139,169,173,175,164.2,13.05986217,164.7185478,30
173,137,168,170,174,164.4,13.86506401,164.9836356,30
172,135,168,167,176,163.6,14.65059726,164.2546803,30
167,136,177,166,174,164,14.6013698,164.648717,30
167,136,176,166,173,163.6,14.29125607,164.2230191,30
167,133,172,167,174,162.6,15.05456741,163.2954378,30
171,133,173,169,170,163.2,15.15783626,163.90241,30
170,139,178,165,167,163.8,13.16662447,164.3283299,30
168,139,180,165,169,164.2,13.58528616,164.7610391,30
164,138,177,161,173,162.6,13.60294086,163.1680116,30
164,137,175,160,172,161.6,13.42534916,162.1567143,30
162,136,171,166,174,161.8,13.5410487,162.3656368,30
162,136,167,167,172,160.8,12.79687462,161.3084003,30
165,134,169,167,173,161.6,14.05133446,162.2097408,30
163,134,172,166,175,162,14.62873884,162.6591528,30
163,136,169,163,173,160.8,12.96765206,161.3220382,30
162,134,168,162,170,159.2,12.99846145,159.7297718,30
163,132,166,167,171,159.8,14.1336478,160.4238137,30
163,137,163,168,168,159.8,11.61722859,160.2217214,30
167,137,160,171,170,161,12.6015872,161.4924147,30
163,134,159,170,170,159.2,13.28758819,159.7535602,30
161,134,157,168,168,157.6,12.53156016,158.0974383,30
160,136,154,175,170,159,13.65283853,159.585087,30
159,135,157,178,169,159.6,14.41665703,160.249805,30
158,133,167,175,170,160.6,14.86741403,161.2867012,30
157,134,165,172,169,159.4,13.66162509,159.9843742,30
158,135,165,170,170,159.6,13.06292463,160.1336941,30
159,138,170,167,168,160.4,11.80847154,160.834076,30
157,143,174,165,167,161.2,10.59056184,161.5475162,30
155,144,173,168,167,161.4,10.51855503,161.7423878,30
156,142,173,173,167,162.2,11.85580027,162.632715,30
155,141,171,171,165,160.6,11.41227409,161.0049689,30
155,139,171,169,163,159.4,11.62067124,159.8230271,30
155,139,171,170,162,159.4,11.7405281,159.8317866,30
155,144,171,166,159,159,9.316651759,159.2727221,30
155,144,169,163,158,157.8,8.376156637,158.0221503,30
158,144,165,161,157,157,7.071067812,157.159155,30
157,144,166,162,163,158.4,7.761443165,158.5900375,30
157,143,165,160,164,157.8,7.93473377,157.9993671,30
164,144,163,156,169,159.2,8.657944329,159.4352533,30
166,148,160,153,170,159.4,8.089499366,159.6051378,30
162,145,160,153,169,157.8,8.182909018,158.0120249,30
161,141,162,153,169,157.2,9.558242516,157.4903172,30
165,139,159,156,165,156.8,9.558242516,157.0910564,30
164,145,156,155,162,156.4,6.651315659,156.5413683,30
163,151,158,153,164,157.8,5.192301994,157.8854015,30
171,150,159,151,165,159.2,8.059776672,159.4038895,30
173,151,162,150,164,160,8.602325267,160.2310831,30
173,151,164,160,164,162.4,7.11617875,162.5558366,30
130,177,224,201,212,188.8,33.23492139,191.7028951,60
128,177,229,205,212,190.2,35.33496852,193.4543874,60
127,177,233,210,216,192.6,37.49453293,196.2156976,60
126,182,240,206,212,193.2,38.33744905,196.9670023,60
126,182,235,202,215,192,37.23976369,195.5781174,60
140,181,230,198,230,195.8,33.6951035,198.6781317,60
164,178,227,202,240,202.2,28.59650328,204.2121446,60
172,177,225,197,248,203.8,28.909514,205.8402293,60
182,174,222,200,248,205.2,27.02887345,206.9724619,60
187,171,217,200,242,203.4,24.51611715,204.8721553,60
184,170,216,201,245,203.2,26.02614071,204.8599522,60
182,170,215,205,244,203.2,25.91833328,204.8462838,60
184,173,212,209,239,203.4,23.12228362,204.7100388,60
186,175,208,208,237,202.8,21.34853625,203.9205728,60
183,173,208,220,233,203.4,22.41963425,204.6318646,60
183,172,211,223,227,203.2,21.91255348,204.378081,60
178,170,208,223,225,200.8,22.79824555,202.0900789,60
180,167,207,222,223,199.8,22.58672176,201.0726237,60
181,166,206,223,219,199,22.0816666,200.2213775,60
184,164,206,233,214,200.2,23.96998123,201.6298589,60
190,163,203,235,209,200,23.59660993,201.3871893,60
191,163,201,244,205,200.8,26.11053427,202.4904936,60
198,160,210,242,201,202.2,26.24804755,203.8965424,60
199,159,209,244,198,201.8,27.1543735,203.6187614,60
204,157,220,240,195,203.2,27.70848246,205.080472,60
201,157,223,236,193,202,27.21764134,203.8254155,60
204,160,219,234,192,201.8,25.22221243,203.370106,60
204,166,225,234,197,205.2,23.7773001,206.5729895,60
199,168,230,231,193,204.2,23.86126568,205.5893966,60
198,168,230,232,193,204.2,24.13627975,205.6214969,60
199,177,227,229,190,204.4,20.50950999,205.4263858,60
200,178,228,224,188,203.6,19.61224108,204.5424161,60
197,177,237,220,187,203.6,21.95996357,204.7808585,60
195,178,234,221,184,202.4,21.60185177,203.5495026,60
193,181,238,222,190,204.8,21.55365398,205.9310564,60
190,182,240,217,192,204.2,21.39532659,205.3178024,60
185,181,238,216,189,201.8,21.86686992,202.9812799,60
182,183,232,218,185,200,20.90932806,201.0900296,60
178,185,227,221,184,199,20.63976744,200.0674886,60
173,181,224,223,183,196.8,22.05810509,198.0323206,60
170,190,220,219,185,196.8,19.67129889,197.7806866,60
169,192,215,224,194,198.8,19.26032191,199.7308189,60
170,194,217,222,221,204.8,20.17324961,205.7911563,60
172,195,219,218,222,205.2,19.19791655,206.0960941,60
169,192,219,215,227,204.4,21.18112367,205.4945255,60
166,198,224,221,228,207.4,23.18275221,208.6916385,60
165,198,217,231,223,206.8,23.56607731,208.1384155,60
169,199,214,240,221,208.6,23.78739162,209.9518993,60
166,200,214,248,216,208.8,26.55108284,210.4813531,60
169,223,212,248,214,213.2,25.54525396,214.7249403,60
174,223,209,244,209,211.8,22.833309,213.0272283,60
173,233,204,238,212,212,23.24650511,213.27072,60
171,235,200,236,216,211.6,24.27014627,212.9873236,60
169,231,196,232,212,208,23.6050842,209.335138,60
174,238,201,226,245,216.8,26.11819289,218.36758,60
